sample_label	location	Cq	Slope	EPF	sample	correct_sample	group	dilution	day
D8	D8	17.18	0.39	2.97	inoculum_1to10e4_exp_10	NA	inoculum	4	1
D9	D9	9.81	0.33	2.37	inoculum_1to10e1_exp06_d2	NA	inoculum	1	2
D10	D10	10.03	0.33	2.42	inoculum2_1to10e1_exp_07	NA	inoculum	1	1
D11	D11	12.84	0.38	2.68	inoculum_1to10e4_exp_11	NA	inoculum	4	1
D12	D12	12.53	0.69	3.84	inoculum_1to10e2_exp_11	NA	inoculum	2	1
E1	E1	12.84	0.52	3.27	inoculum_1to10e2_exp_06	NA	inoculum	2	1
E2	E2	22.37	0.39	2.66	inoculum_1to10e5_exp10_d2	NA	inoculum	5	2
E3	E3	10.04	0.38	2.73	inoculum_1to10e1_exp_06	NA	inoculum	1	1
E4	E4	12.25	0.38	2.95	inoculum_1to10e2_exp05_d2	NA	inoculum	2	2
E5	E5	26.7	0.3	2.45	inoculum_pbs_exp10_d2	NA	NA	PBS	2
E6	E6	25.49	0.34	2.61	inoculum_pbs_exp11_d2	NA	NA	PBS	2
E7	E7	9.48	0.23	1.8	inoculum_1to10e1_exp05_d2	NA	inoculum	1	2
E8	E8	22.12	0.33	2.53	inoculum_1to10e5_exp11_d2	NA	inoculum	5	2
E9	E9	26.87	0.34	2.76	inoculum_pbs_exp11_d1	NA	NA	PBS	1
E10	E10	15.03	0.33	2.43	inoculum_1to10e3_exp07_d2	NA	inoculum	3	2
E11	E11	10.14	0.34	2.31	inoculum_1to10e1a_exp_09	NA	NA	1	1
E12	E12	9.31	0.32	2.26	inoculum_1to10e1_exp_09	NA	inoculum	1	1
F1	F1	12.97	0.31	2.77	inoculum_1to10e3_exp_09	NA	inoculum	3	1
F2	F2	22.26	0.26	2.11	inoculum_1to10e5_exp_08	NA	inoculum	5	1
F3	F3	20.08	0.36	2.8	inoculum_1to10e1_exp_04	NA	inoculum	1	1
F4	F4	24.94	0.32	2.49	inoculum_1to10e6_exp10_d2	NA	inoculum	6	2
F5	F5	18.14	0.34	3.01	inoculum_1to10e2_exp_04	NA	inoculum	2	1
F6	F6	15.08	0.32	2.75	inoculum_1to10e3_exp_11	NA	inoculum	3	1
F7	F7	22.95	0.27	2.29	inoculum_pbs_exp04_d1	NA	NA	PBS	1
F8	F8	14.83	0.35	3.2	inoculum_1to10e3_exp_05	NA	inoculum	3	1
F9	F9	23.96	0.31	2.38	inoculum_1to10e6_exp_10	NA	inoculum	6	1
F10	F10	23.66	0.34	2.46	inoculum_1to10e5_exp_10	NA	inoculum	5	1
F11	F11	11.77	0.47	3.06	inoculum_1to10e2_exp10_d2	NA	inoculum	2	2
F12	F12	22.09	0.42	2.77	inoculum_1to10e5_exp_11	NA	inoculum	5	1
G1	G1	12.78	0.4	3	inoculum_1to10e2_exp06_d2	NA	inoculum	2	2
G2	G2	25.07	0.33	2.65	inoculum_1to10e6_exp_11	NA	inoculum	6	1
G3	G3	NA	0.03	0.95	inoculum_1to10e2_exp_09	NA	inoculum	2	1
G4	G4	19.57	0.34	2.73	inoculum_1to10e4_exp_08	NA	inoculum	4	1
mock_1	H6	11.09	0.48	3.02	mock_1	NA	NA	"Positive
Control"	1
mock_2	H7	11.54	0.39	2.54	mock_2	NA	NA	"Positive
Control"	1
mock_3	H8	11.38	0.45	2.9	mock_3	NA	NA	"Positive
Control"	1
water_1	H10	26.69	0.36	2.57	water_1	NA	NA	"Negative
Control"	1
water_2	H11	27.22	0.49	3.06	water_2	NA	NA	"Negative
Control"	1
water_3	H12	26.44	0.36	2.55	water_3	NA	NA	"Negative
Control"	1
