#This is a tab-delimited file. Additional Documentation can be found at http://www.mothur.org/wiki/MIMarks_Data_Packages.
#Please fill all the required fields indicated with '*'
#Unknown or inapplicable fields can be assigned 'missing' value.
#You may add extra custom fields to this template. Make sure all the fields are separated by tabs.
#You may remove any fields not required (marked with '*'). Make sure all the fields are separated by tabs.
#You can edit this template using Microsoft Excel or any other editor. But while saving the file please make sure to save them as 'TAB-DELIMITED' TEXT FILE.
#MIMARKS.survey.host-associated.4.0
#{sample name}	{description of sample}	{sample title}	{description of library_construction_protocol}	{http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&id=408169&lvl=3&keep=1&srchmode=1&unlock}	{Date of sampling, in "DD-Mmm-YYYY", "Mmm-YYYY" or "YYYY" format (eg., 30-Oct-1990, Oct-1990 or 1990) or ISO 8601 standard "YYYY-mm-dd", "YYYY-mm" or "YYYY-mm-ddThh:mm:ss" (eg., 1990-10-30, 1990-10 or 1990-10-30T14:41:36)}	{descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO}	{descriptor of the local environment. Examples include: harbor, cliff, or lake. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO}	{material that was displaced by the sample, or material in which a sample was embedded, prior to the sampling event. Examples include: air, soil, or water. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO}	{Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg "Canada: Vancouver" or "Germany: halfway down Zugspitze, Alps"}	{The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, "Homo sapiens".}	{The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format "d[d.dddd] N|S d[dd.dddd] W|E", eg, 38.98 N 77.11 W}
#{text}	{text}	{text}	{text}	{controlled vacabulary}	{{timestamp}}	{{term}}	{{term}}	{{term}}	{{term}:{term}:{text}}	{{none}}	{{float} {float}}
group	mouse_id	day	weight	cfu	antibiotic	collection_date	treatment_diluton	metadata_label	exp	dob	cage	outcome	timepoint	sample_name	description	sample_title	seq_methods	organism	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon
f_4_0_dminus1	f_4_0	-1	22.7	0	Clindamycin	2019-06-06	-1	f_4_0_dminus1	4	2019-04-02	F4	cleared	post_antibiotic	f_4_0_dminus1	Day -1 ,relative to C. difficile challenge, fecal sample from mouse f_4_0 cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_0 , Day -1 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_R_dminus1	f_4_R	-1	24.9	0	Clindamycin	2019-06-06	-1	f_4_R_dminus1	4	2019-04-02	F4	cleared	post_antibiotic	f_4_R_dminus1	Day -1 ,relative to C. difficile challenge, fecal sample from mouse f_4_R cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_R , Day -1 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_0_dminus1	m_4_0	-1	25.3	0	Clindamycin	2019-06-06	-2	m_4_0_dminus1	4	2019-03-29	M4	cleared	post_antibiotic	m_4_0_dminus1	Day -1 ,relative to C. difficile challenge, fecal sample from mouse m_4_0 cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_0 , Day -1 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_R_dminus1	m_4_R	-1	26	0	Clindamycin	2019-06-06	-2	m_4_R_dminus1	4	2019-03-29	M4	cleared	post_antibiotic	m_4_R_dminus1	Day -1 ,relative to C. difficile challenge, fecal sample from mouse m_4_R cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_R , Day -1 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_4_0_dminus1	l_4_0	-1	26.3	0	Clindamycin	2019-06-06	-3	l_4_0_dminus1	4	2019-03-29	L4	cleared	post_antibiotic	l_4_0_dminus1	Day -1 ,relative to C. difficile challenge, fecal sample from mouse l_4_0 cage L4 , which received the fecal community transplant treatment -3	Mouse l_4_0 , Day -1 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_4_R_dminus1	l_4_R	-1	26.4	0	Clindamycin	2019-06-06	-3	l_4_R_dminus1	4	2019-03-29	L4	cleared	post_antibiotic	l_4_R_dminus1	Day -1 ,relative to C. difficile challenge, fecal sample from mouse l_4_R cage L4 , which received the fecal community transplant treatment -3	Mouse l_4_R , Day -1 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_0_d0	nt_4_0	0	24.3	0	Clindamycin	2019-06-07	PBS	nt_4_0_d0	4	2019-04-02	NT4	cleared	infection	nt_4_0_d0	Day 0 ,relative to C. difficile challenge, fecal sample from mouse nt_4_0 cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_0 , Day 0 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_R_d0	nt_4_R	0	24.5	0	Clindamycin	2019-06-07	PBS	nt_4_R_d0	4	2019-04-02	NT4	cleared	infection	nt_4_R_d0	Day 0 ,relative to C. difficile challenge, fecal sample from mouse nt_4_R cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_R , Day 0 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_0_d0	f_4_0	0	22.2	0	Clindamycin	2019-06-07	-1	f_4_0_d0	4	2019-04-02	F4	cleared	infection	f_4_0_d0	Day 0 ,relative to C. difficile challenge, fecal sample from mouse f_4_0 cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_0 , Day 0 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_R_d0	f_4_R	0	24.8	0	Clindamycin	2019-06-07	-1	f_4_R_d0	4	2019-04-02	F4	cleared	infection	f_4_R_d0	Day 0 ,relative to C. difficile challenge, fecal sample from mouse f_4_R cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_R , Day 0 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_0_d0	m_4_0	0	25.2	0	Clindamycin	2019-06-07	-2	m_4_0_d0	4	2019-03-29	M4	cleared	infection	m_4_0_d0	Day 0 ,relative to C. difficile challenge, fecal sample from mouse m_4_0 cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_0 , Day 0 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_R_d0	m_4_R	0	26.3	0	Clindamycin	2019-06-07	-2	m_4_R_d0	4	2019-03-29	M4	cleared	infection	m_4_R_d0	Day 0 ,relative to C. difficile challenge, fecal sample from mouse m_4_R cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_R , Day 0 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_4_0_d0	l_4_0	0	27.3	0	Clindamycin	2019-06-07	-3	l_4_0_d0	4	2019-03-29	L4	cleared	infection	l_4_0_d0	Day 0 ,relative to C. difficile challenge, fecal sample from mouse l_4_0 cage L4 , which received the fecal community transplant treatment -3	Mouse l_4_0 , Day 0 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_4_R_d0	l_4_R	0	26.6	0	Clindamycin	2019-06-07	-3	l_4_R_d0	4	2019-03-29	L4	cleared	infection	l_4_R_d0	Day 0 ,relative to C. difficile challenge, fecal sample from mouse l_4_R cage L4 , which received the fecal community transplant treatment -3	Mouse l_4_R , Day 0 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_0_d1	nt_4_0	1	24.7	136000000	Clindamycin	2019-06-08	PBS	nt_4_0_d1	4	2019-04-02	NT4	cleared	dpi	nt_4_0_d1	Day 1 ,relative to C. difficile challenge, fecal sample from mouse nt_4_0 cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_0 , Day 1 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_R_d1	nt_4_R	1	24.7	79600000	Clindamycin	2019-06-08	PBS	nt_4_R_d1	4	2019-04-02	NT4	cleared	dpi	nt_4_R_d1	Day 1 ,relative to C. difficile challenge, fecal sample from mouse nt_4_R cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_R , Day 1 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_0_d1	f_4_0	1	23.1	118666.66666666667	Clindamycin	2019-06-08	-1	f_4_0_d1	4	2019-04-02	F4	cleared	dpi	f_4_0_d1	Day 1 ,relative to C. difficile challenge, fecal sample from mouse f_4_0 cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_0 , Day 1 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_R_d1	f_4_R	1	25.4	5200000	Clindamycin	2019-06-08	-1	f_4_R_d1	4	2019-04-02	F4	cleared	dpi	f_4_R_d1	Day 1 ,relative to C. difficile challenge, fecal sample from mouse f_4_R cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_R , Day 1 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_0_d1	m_4_0	1	25.4	64799999.99999999	Clindamycin	2019-06-08	-2	m_4_0_d1	4	2019-03-29	M4	cleared	dpi	m_4_0_d1	Day 1 ,relative to C. difficile challenge, fecal sample from mouse m_4_0 cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_0 , Day 1 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_R_d1	m_4_R	1	26.7	26000	Clindamycin	2019-06-08	-2	m_4_R_d1	4	2019-03-29	M4	cleared	dpi	m_4_R_d1	Day 1 ,relative to C. difficile challenge, fecal sample from mouse m_4_R cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_R , Day 1 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_4_0_d1	l_4_0	1	27	30333333.333333332	Clindamycin	2019-06-08	-3	l_4_0_d1	4	2019-03-29	L4	cleared	dpi	l_4_0_d1	Day 1 ,relative to C. difficile challenge, fecal sample from mouse l_4_0 cage L4 , which received the fecal community transplant treatment -3	Mouse l_4_0 , Day 1 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_0_d2	nt_4_0	2	24.5	1586666.6666666667	Clindamycin	2019-06-09	PBS	nt_4_0_d2	4	2019-04-02	NT4	cleared	dpi	nt_4_0_d2	Day 2 ,relative to C. difficile challenge, fecal sample from mouse nt_4_0 cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_0 , Day 2 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_R_d2	nt_4_R	2	23.8	862000	Clindamycin	2019-06-09	PBS	nt_4_R_d2	4	2019-04-02	NT4	cleared	dpi	nt_4_R_d2	Day 2 ,relative to C. difficile challenge, fecal sample from mouse nt_4_R cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_R , Day 2 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_0_d2	f_4_0	2	22.6	4000	Clindamycin	2019-06-09	-1	f_4_0_d2	4	2019-04-02	F4	cleared	dpi	f_4_0_d2	Day 2 ,relative to C. difficile challenge, fecal sample from mouse f_4_0 cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_0 , Day 2 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_R_d2	f_4_R	2	25.4	284666.6666666667	Clindamycin	2019-06-09	-1	f_4_R_d2	4	2019-04-02	F4	cleared	dpi	f_4_R_d2	Day 2 ,relative to C. difficile challenge, fecal sample from mouse f_4_R cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_R , Day 2 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_0_d2	m_4_0	2	24.8	7266666.666666667	Clindamycin	2019-06-09	-2	m_4_0_d2	4	2019-03-29	M4	cleared	dpi	m_4_0_d2	Day 2 ,relative to C. difficile challenge, fecal sample from mouse m_4_0 cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_0 , Day 2 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_R_d2	m_4_R	2	26.5	2666.6666666666665	Clindamycin	2019-06-09	-2	m_4_R_d2	4	2019-03-29	M4	cleared	dpi	m_4_R_d2	Day 2 ,relative to C. difficile challenge, fecal sample from mouse m_4_R cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_R , Day 2 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_4_0_d2	l_4_0	2	28.2	1200000	Clindamycin	2019-06-09	-3	l_4_0_d2	4	2019-03-29	L4	cleared	dpi	l_4_0_d2	Day 2 ,relative to C. difficile challenge, fecal sample from mouse l_4_0 cage L4 , which received the fecal community transplant treatment -3	Mouse l_4_0 , Day 2 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_4_R_d2	l_4_R	2	25.3	554000	Clindamycin	2019-06-09	-3	l_4_R_d2	4	2019-03-29	L4	cleared	dpi	l_4_R_d2	Day 2 ,relative to C. difficile challenge, fecal sample from mouse l_4_R cage L4 , which received the fecal community transplant treatment -3	Mouse l_4_R , Day 2 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_0_d3	nt_4_0	3	24.8	268666.6666666667	Clindamycin	2019-06-10	PBS	nt_4_0_d3	4	2019-04-02	NT4	cleared	dpi	nt_4_0_d3	Day 3 ,relative to C. difficile challenge, fecal sample from mouse nt_4_0 cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_0 , Day 3 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_R_d3	nt_4_R	3	24.9	930000	Clindamycin	2019-06-10	PBS	nt_4_R_d3	4	2019-04-02	NT4	cleared	dpi	nt_4_R_d3	Day 3 ,relative to C. difficile challenge, fecal sample from mouse nt_4_R cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_R , Day 3 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_0_d3	f_4_0	3	22.7	0	Clindamycin	2019-06-10	-1	f_4_0_d3	4	2019-04-02	F4	cleared	dpi	f_4_0_d3	Day 3 ,relative to C. difficile challenge, fecal sample from mouse f_4_0 cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_0 , Day 3 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_R_d3	f_4_R	3	25.8	0	Clindamycin	2019-06-10	-1	f_4_R_d3	4	2019-04-02	F4	cleared	dpi	f_4_R_d3	Day 3 ,relative to C. difficile challenge, fecal sample from mouse f_4_R cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_R , Day 3 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
