Color	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;132;197;238	B10	B10	None	9.53	-	Positive	Unchecked	Unknown	-	9.53	0.00	-	-		SYBR Green I	 	0.25	1.87	None			22
255;132;197;238	B11	B11	None	9.59	-	Positive	Unchecked	Unknown	-	9.59	0.00	-	-		SYBR Green I	 	0.25	1.82	None			23
255;132;197;238	B12	B12	None	15.16	-	Positive	Unchecked	Unknown	-	15.16	0.00	-	-		SYBR Green I	 	0.55	3.45	None			24
255;132;197;238	C1	C1	None	14.49	-	Positive	Unchecked	Unknown	-	14.49	0.00	-	-		SYBR Green I	 	0.47	3.17	None			25
255;132;197;238	C2	C2	None	9.64	-	Positive	Unchecked	Unknown	-	9.64	0.00	-	-		SYBR Green I	 	0.20	1.81	None			26
255;132;197;238	C3	C3	None	17.42	-	Positive	Unchecked	Unknown	-	17.42	0.00	-	-		SYBR Green I	 	0.38	3.10	None			27
255;132;197;238	C4	C4	None	10.26	-	Positive	Unchecked	Unknown	-	10.26	0.00	-	-		SYBR Green I	 	0.32	2.70	None			28
255;132;197;238	C5	C5	None	12.04	-	Positive	Unchecked	Unknown	-	12.04	0.00	-	-		SYBR Green I	 	0.32	2.62	None			29
255;132;197;238	C6	C6	None	9.93	-	Positive	Unchecked	Unknown	-	9.93	0.00	-	-		SYBR Green I	 	0.30	2.43	None			30
255;132;197;238	C7	C7	None	21.75	-	Positive	Unchecked	Unknown	-	21.75	0.00	-	-		SYBR Green I	 	0.43	3.25	None			31
255;132;197;238	C8	C8	None	14.82	-	Positive	Unchecked	Unknown	-	14.82	0.00	-	-		SYBR Green I	 	0.40	2.90	None			32
255;132;197;238	C9	C9	None	22.05	-	Positive	Unchecked	Unknown	-	22.05	0.00	-	-		SYBR Green I	 	0.37	2.80	None			33
255;132;197;238	C10	C10	None	26.65	-	Positive	Unchecked	Unknown	-	26.65	0.00	-	-		SYBR Green I	 	0.38	2.77	None			34
255;132;197;238	C11	C11	None	24.10	-	Positive	Unchecked	Unknown	-	24.10	0.00	-	-		SYBR Green I	 	0.41	2.83	None			35
255;132;197;238	C12	C12	None	17.60	-	Positive	Unchecked	Unknown	-	17.60	0.00	-	-		SYBR Green I	 	0.51	3.40	None			36
255;132;197;238	D1	D1	None	12.29	-	Positive	Unchecked	Unknown	-	12.29	0.00	-	-		SYBR Green I	 	0.52	3.30	None			37
255;132;197;238	D2	D2	None	26.84	-	Positive	Unchecked	Unknown	-	26.84	0.00	-	-		SYBR Green I	 	0.41	2.85	None			38
255;132;197;238	D3	D3	None	26.75	-	Positive	Unchecked	Unknown	-	26.75	0.00	-	-		SYBR Green I	 	0.40	2.83	None			39
255;132;197;238	D4	D4	None	10.03	-	Positive	Unchecked	Unknown	-	10.03	0.00	-	-		SYBR Green I	 	0.34	2.86	None			40
255;132;197;238	D5	D5	None	15.02	-	Positive	Unchecked	Unknown	-	15.02	0.00	-	-		SYBR Green I	 	0.40	3.19	None			41
255;132;197;238	D6	D6	None	26.28	-	Positive	Unchecked	Unknown	-	26.28	0.00	-	-		SYBR Green I	 	0.21	1.95	None			42
255;132;197;238	D7	D7	None	11.05	-	Positive	Unchecked	Unknown	-	11.05	0.00	-	-		SYBR Green I	 	0.15	2.96	None			43
255;132;197;238	D8	D8	None	17.18	-	Positive	Unchecked	Unknown	-	17.18	0.00	-	-		SYBR Green I	 	0.39	2.97	None			44
255;132;197;238	D9	D9	None	9.81	-	Positive	Unchecked	Unknown	-	9.81	0.00	-	-		SYBR Green I	 	0.33	2.37	None			45
255;132;197;238	D10	D10	None	10.03	-	Positive	Unchecked	Unknown	-	10.03	0.00	-	-		SYBR Green I	 	0.33	2.42	None			46
255;132;197;238	D11	D11	None	12.84	-	Positive	Unchecked	Unknown	-	12.84	0.00	-	-		SYBR Green I	 	0.38	2.68	None			47
255;132;197;238	D12	D12	None	12.53	-	Positive	Unchecked	Unknown	-	12.53	0.00	-	-		SYBR Green I	 	0.69	3.84	None			48
255;132;197;238	E1	E1	None	12.84	-	Positive	Unchecked	Unknown	-	12.84	0.00	-	-		SYBR Green I	 	0.52	3.27	None			49
255;132;197;238	E2	E2	None	22.37	-	Positive	Unchecked	Unknown	-	22.37	0.00	-	-		SYBR Green I	 	0.39	2.66	None			50
255;132;197;238	E3	E3	None	10.04	-	Positive	Unchecked	Unknown	-	10.04	0.00	-	-		SYBR Green I	 	0.38	2.73	None			51
255;132;197;238	E4	E4	None	12.25	-	Positive	Unchecked	Unknown	-	12.25	0.00	-	-		SYBR Green I	 	0.38	2.95	None			52
255;132;197;238	E5	E5	None	26.70	-	Positive	Unchecked	Unknown	-	26.70	0.00	-	-		SYBR Green I	 	0.30	2.45	None			53
255;132;197;238	E6	E6	None	25.49	-	Positive	Unchecked	Unknown	-	25.49	0.00	-	-		SYBR Green I	 	0.34	2.61	None			54
255;132;197;238	E7	E7	None	9.48	-	Positive	Unchecked	Unknown	-	9.48	0.00	-	-		SYBR Green I	 	0.23	1.80	None			55
255;132;197;238	E8	E8	None	22.12	-	Positive	Unchecked	Unknown	-	22.12	0.00	-	-		SYBR Green I	 	0.33	2.53	None			56
255;132;197;238	E9	E9	None	26.87	-	Positive	Unchecked	Unknown	-	26.87	0.00	-	-		SYBR Green I	 	0.34	2.76	None			57
255;132;197;238	E10	E10	None	15.03	-	Positive	Unchecked	Unknown	-	15.03	0.00	-	-		SYBR Green I	 	0.33	2.43	None			58
255;132;197;238	E11	E11	None	10.14	-	Positive	Unchecked	Unknown	-	10.14	0.00	-	-		SYBR Green I	 	0.34	2.31	None			59
255;132;197;238	E12	E12	None	9.31	-	Positive	Unchecked	Unknown	-	9.31	0.00	-	-		SYBR Green I	 	0.32	2.26	None			60
255;132;197;238	F1	F1	None	12.97	-	Positive	Unchecked	Unknown	-	12.97	0.00	-	-		SYBR Green I	 	0.31	2.77	None			61
255;132;197;238	F2	F2	None	22.26	-	Positive	Unchecked	Unknown	-	22.26	0.00	-	-		SYBR Green I	 	0.26	2.11	None			62
255;132;197;238	F3	F3	None	20.08	-	Positive	Unchecked	Unknown	-	20.08	0.00	-	-		SYBR Green I	 	0.36	2.80	None			63
255;132;197;238	F4	F4	None	24.94	-	Positive	Unchecked	Unknown	-	24.94	0.00	-	-		SYBR Green I	 	0.32	2.49	None			64
255;132;197;238	F5	F5	None	18.14	-	Positive	Unchecked	Unknown	-	18.14	0.00	-	-		SYBR Green I	 	0.34	3.01	None			65
255;132;197;238	F6	F6	None	15.08	-	Positive	Unchecked	Unknown	-	15.08	0.00	-	-		SYBR Green I	 	0.32	2.75	None			66
255;132;197;238	F7	F7	None	22.95	-	Positive	Unchecked	Unknown	-	22.95	0.00	-	-		SYBR Green I	 	0.27	2.29	None			67
255;132;197;238	F8	F8	None	14.83	-	Positive	Unchecked	Unknown	-	14.83	0.00	-	-		SYBR Green I	 	0.35	3.20	None			68
255;132;197;238	F9	F9	None	23.96	-	Positive	Unchecked	Unknown	-	23.96	0.00	-	-		SYBR Green I	 	0.31	2.38	None			69
255;132;197;238	F10	F10	None	23.66	-	Positive	Unchecked	Unknown	-	23.66	0.00	-	-		SYBR Green I	 	0.34	2.46	None			70
255;132;197;238	F11	F11	None	11.77	-	Positive	Unchecked	Unknown	-	11.77	0.00	-	-		SYBR Green I	 	0.47	3.06	None			71
255;132;197;238	F12	F12	None	22.09	-	Positive	Unchecked	Unknown	-	22.09	0.00	-	-		SYBR Green I	 	0.42	2.77	None			72
255;132;197;238	G1	G1	None	12.78	-	Positive	Unchecked	Unknown	-	12.78	0.00	-	-		SYBR Green I	 	0.40	3.00	None			73
255;132;197;238	G2	G2	None	25.07	-	Positive	Unchecked	Unknown	-	25.07	0.00	-	-		SYBR Green I	 	0.33	2.65	None			74
255;132;197;238	G3	G3	None	-	-	Negative	Unchecked	Unknown	-	-	-	-	-		SYBR Green I	 	0.03	0.95	None			75
255;132;197;238	G4	G4	None	19.57	-	Positive	Unchecked	Unknown	-	19.57	0.00	-	-		SYBR Green I	 	0.34	2.73	None			76
255;95;103;174	H6	mock_1	None	11.09	-	Positive	Unchecked	Unknown	-	11.09	0.00	-	-		SYBR Green I	 	0.48	3.02	None			77
255;95;103;174	H7	mock_2	None	11.54	-	Positive	Unchecked	Unknown	-	11.54	0.00	-	-		SYBR Green I	 	0.39	2.54	None			78
255;132;197;238	H8	mock_3	None	11.38	-	Positive	Unchecked	Unknown	-	11.38	0.00	-	-		SYBR Green I	 	0.45	2.90	None			79
255;95;103;174	H10	water_1	None	26.69	-	Positive	Unchecked	Unknown	-	26.69	0.00	-	-		SYBR Green I	 	0.36	2.57	None			80
255;95;103;174	H11	water_2	None	27.22	-	Positive	Unchecked	Unknown	-	27.22	0.00	-	-		SYBR Green I	 	0.49	3.06	None			81
255;132;197;238	H12	water_3	None	26.44	-	Positive	Unchecked	Unknown	-	26.44	0.00	-	-		SYBR Green I	 	0.36	2.55	None			82
